-3.74999999999999954525e+03,-3.75000000000000090949e+03,-3.75000000000000045475e+03,-3.75000000000000045475e+03,-3.74999999999999772626e+03,-3.75000000000000000000e+03,-3.75000000000000000000e+03,-3.75000000000000000000e+03,-3.75000000000000000000e+03,-3.75000000000000000000e+03,-3.75000000000000500222e+03,-3.75000000000000000000e+03,
3.74999999999728788680e+03,3.74999999999728788680e+03,3.74999999999728697730e+03,3.74999999999728697730e+03,3.74999999999728788680e+03,3.74999999999728743205e+03,3.74999999999728743205e+03,3.74999999999729061528e+03,3.74999999999728788680e+03,3.74999999999728697730e+03,3.74999999999729061528e+03,3.74999999999728743205e+03,
1.12499998474345411523e+04,1.12499998474345411523e+04,1.12499998474345375143e+04,1.12499998474345411523e+04,1.12499998474345411523e+04,1.12499998474345429713e+04,1.12499998474345375143e+04,1.12499998474345393333e+04,1.12499998474345411523e+04,1.12499998474345429713e+04,1.12499998474345429713e+04,1.12499998474345484283e+04,
1.87496229969819323742e+04,1.87496229969819323742e+04,1.87496229969819323742e+04,1.87496229969819287362e+04,1.87496229969819360122e+04,1.87496229969819287362e+04,1.87496229969819323742e+04,1.87496229969819323742e+04,1.87496229969819323742e+04,1.87496229969819323742e+04,1.87496229969819287362e+04,1.87496229969819287362e+04,
2.62080507519626517023e+04,2.62080507519626517023e+04,2.62080507519626517023e+04,2.62080507519626480644e+04,2.62080507519626517023e+04,2.62080507519626517023e+04,2.62080507519626517023e+04,2.62080507519626480644e+04,2.62080507519626517023e+04,2.62080507519626480644e+04,2.62080507519626517023e+04,2.62080507519626517023e+04,
3.35596509067518854863e+04,3.35596509067518854863e+04,3.35596509067518927623e+04,3.35596509067518854863e+04,3.35596509067518854863e+04,3.35596509067518782103e+04,3.35596509067518927623e+04,3.35596509067518854863e+04,3.35596509067518782103e+04,3.35596509067518854863e+04,3.35596509067518782103e+04,3.35596509067518927623e+04,
4.14403490932481145137e+04,4.14403490932481145137e+04,4.14403490932481145137e+04,4.14403490932481217897e+04,4.14403490932481145137e+04,4.14403490932481145137e+04,4.14403490932481217897e+04,4.14403490932481145137e+04,4.14403490932481072377e+04,4.14403490932481072377e+04,4.14403490932481145137e+04,4.14403490932481217897e+04,
4.87919492480373446597e+04,4.87919492480373519356e+04,4.87919492480373519356e+04,4.87919492480373446597e+04,4.87919492480373519356e+04,4.87919492480373519356e+04,4.87919492480373592116e+04,4.87919492480373519356e+04,4.87919492480373519356e+04,4.87919492480373519356e+04,4.87919492480373446597e+04,4.87919492480373446597e+04,
5.62503770030180676258e+04,5.62503770030180676258e+04,5.62503770030180676258e+04,5.62503770030180676258e+04,5.62503770030180603499e+04,5.62503770030180749018e+04,5.62503770030180676258e+04,5.62503770030180749018e+04,5.62503770030180749018e+04,5.62503770030180603499e+04,5.62503770030180676258e+04,5.62503770030180676258e+04,
6.37500001525654588477e+04,6.37500001525654588477e+04,6.37500001525654442958e+04,6.37500001525654588477e+04,6.37500001525654515717e+04,6.37500001525654588477e+04,6.37500001525654588477e+04,6.37500001525654733996e+04,6.37500001525654661236e+04,6.37500001525654442958e+04,6.37500001525654442958e+04,6.37500001525654588477e+04,
7.12500000000027357601e+04,7.12500000000027212081e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027212081e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,7.12500000000027066562e+04,
7.87500000000000145519e+04,7.87500000000000145519e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,7.87499999999999854481e+04,7.87499999999999854481e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,7.87500000000000000000e+04,
